,Numéro de mesure,Longitude,Latitude,Position,Insee,Adresse,Complément,Code postal,Commune,Date de mesure,Mesure réalisée,Rapport,Conformité de la mesure,Niveau_global,Type d'environnement,Laboratoire,target
185,19212,3.9272199999999997,43.63028,"03° 55' 38.00'' Est, 43° 37' 49.00'' Nord",34057,Chemin des Thermes,A l'intersection avec le chemin des Grès,34173,CASTELNAU-LE-LEZ,11/12/2009,En extérieur,FicheMesure19212.pdf,Oui,0.32,Rue / Route / Parking,AEXPERTISE,1
186,19444,3.21556,43.34472,"03° 12' 56.00'' Est, 43° 20' 41.00'' Nord",34032,Place de la Victoire,Devant le Théâtre,34500,BEZIERS,11/01/2010,En extérieur,FicheMesure19444.pdf,Oui,0.41,Rue / Route / Parking,AEXPERTISE,1
187,19591,3.85167,43.6125,"03° 51' 06.00'' Est, 43° 36' 45.00'' Nord",34172,11 Rue des Coronilles,Appartement n°77 - Terrasse,34070,MONTPELLIER,20/11/2009,En extérieur,FicheMesure19591.pdf,Oui,0.89,Divers,EMITECH Chassieu,1
188,19676,3.50556,43.64861,"03° 30' 20.00'' Est, 43° 38' 55.00'' Nord",34239,Rue du couvent,devant l'Ecole privée Jeanne d'arc,34725,SAINT-ANDRE-DE-SANGONIS,27/01/2010,En extérieur,FicheMesure19676.pdf,Oui,0.0,Rue / Route / Parking,AEXPERTISE,1
189,19680,3.50444,43.65194,"03° 30' 16.00'' Est, 43° 39' 07.00'' Nord",34239,Cours de la liberté,"Ecole primaire Randon, dans la cour, devant la classe E",34725,SAINT-ANDRE-DE-SANGONIS,27/01/2010,En extérieur,FicheMesure19680.pdf,Oui,0.52,Rue / Route / Parking,AEXPERTISE,1
190,19905,3.68444,43.40222,"03° 41' 04.00'' Est, 43° 24' 08.00'' Nord",34301,1321 Chemin de Saint-Clair,"Terrasse panoramique, au niveau de l'escalier, à l'angle situé côté chapelle (nord-ouest)",34200,SETE,09/02/2010,En extérieur,FicheMesure19905.pdf,Oui,9.05,Divers,AEXPERTISE,0
191,20067,3.40944,43.46028,"03° 24' 34.00'' Est, 43° 27' 37.00'' Nord",34199,Carrefour Marcel Paul,Devant le Centre de Secours Lieutenant René Peyre,34120,PEZENAS,23/02/2010,En extérieur,FicheMesure20067.pdf,Oui,0.7,Rue / Route / Parking,AEXPERTISE,1
192,20230,3.2547200000000003,43.29278,"03° 15' 17.00'' Est, 43° 17' 34.00'' Nord",34298,11 Avenue du Stade,"Institut Médico-Educatif Les Hirondelles, sur le parking, devant le futur bâtiment Administration",34410,SAUVIAN,18/03/2010,En extérieur,FicheMesure20230.pdf,Oui,0.75,Rue / Route / Parking,AEXPERTISE,1
193,20537,3.2055599999999997,43.32667,"03° 12' 20.00'' Est, 43° 19' 36.00'' Nord",34032,Impasse Henri Clouzot,en face du n°2 de l'impasse Henri Clouzot,34500,BEZIERS,14/04/2010,En extérieur,FicheMesure20537.pdf,Oui,1.5,Rue / Route / Parking,AEXPERTISE,1
194,20585,3.8383300000000005,43.56333,"03° 50' 18.00'' Est, 43° 33' 48.00'' Nord",34270,Rue Saint Exupéry,"Z.I. La Lauze, Unibéton, sur la passerelle de la tour de la centrale à béton, derrière l'antenne côté sud-est",34430,SAINT-JEAN-DE-VEDAS,15/04/2010,En extérieur,FicheMesure20585.pdf,Oui,2.69,Divers,AEXPERTISE,1
195,20586,3.83083,43.58361,"03° 49' 51.00'' Est, 43° 35' 01.00'' Nord",34270,Chemin des Oliviers,"Sur l'aire de jeux pour enfants, à côté de la table, entre les deux balançoires",34430,SAINT-JEAN-DE-VEDAS,15/04/2010,En extérieur,FicheMesure20586.pdf,Oui,1.96,Divers,AEXPERTISE,1
196,20647,3.8375,43.60556,"03° 50' 15.00'' Est, 43° 36' 20.00'' Nord",34172,Rue Viollet Le Duc,Ecole Elémentaire SPINOZA - Plateau d'évolution,34000,MONTPELLIER,24/03/2010,En extérieur,FicheMesure20647.pdf,Oui,1.61,Rue / Route / Parking,EMITECH Chassieu,1
197,20649,3.91917,43.5875,"03° 55' 09.00'' Est, 43° 35' 15.00'' Nord",34129,Rue du Mas de Portal,Parking face aux maisons numéro 5 et 7,34970,LATTES,24/03/2010,En extérieur,FicheMesure20649.pdf,Oui,0.68,Rue / Route / Parking,EMITECH Chassieu,1
198,20668,3.9594400000000003,43.57917,"03° 57' 34.00'' Est, 43° 34' 45.00'' Nord",34154,Aéroport de MONTPELLIER Méditerrannée,Aéroport MONTPELLIER - Secteur C - 1er étage - PIF N°2,34137,MAUGUIO,18/03/2010,En extérieur,FicheMesure20668.pdf,Oui,0.0,Divers,EMITECH Chassieu,1
199,20673,3.08639,43.58972,"03° 05' 11.00'' Est, 43° 35' 23.00'' Nord",34126,Lotissement Bois de Coubillou,Lotissement Bois de Coubillou - devant la maison num10,34240,LAMALOU-LES-BAINS,18/03/2010,En extérieur,FicheMesure20673.pdf,Oui,0.51,Rue / Route / Parking,EMITECH Chassieu,1
200,21095,4.02,43.73028,"04° 01' 12.00'' Est, 43° 43' 49.00'' Nord",34027,Rue de la coopérative,A l'angle du n°12 de la rue de la coopérative,34160,BEAULIEU,22/06/2010,En extérieur,FicheMesure21095.pdf,Oui,0.96,Rue / Route / Parking,AEXPERTISE,1
201,21184,3.8425,43.560559999999995,"03° 50' 33.00'' Est, 43° 33' 38.00'' Nord",34270,170 Rue Henri Farman,Devant l'entrée de SPIE,34430,SAINT-JEAN-DE-VEDAS,29/06/2010,En extérieur,FicheMesure21184.pdf,Oui,1.14,Rue / Route / Parking,AEXPERTISE,1
202,21185,3.8391699999999997,43.58167,"03° 50' 21.00'' Est, 43° 34' 54.00'' Nord",34270,Allée du Terral,"Stade Etienne VIDAL, le long du côté est du terrain en herbe, au milieu",34430,SAINT-JEAN-DE-VEDAS,30/06/2010,En extérieur,FicheMesure21185.pdf,Oui,1.59,Divers,AEXPERTISE,1
203,21186,3.8472199999999996,43.571670000000005,"03° 50' 50.00'' Est, 43° 34' 18.00'' Nord",34270,Avenue de la Condamine,"Centre Commercial Carrefour, devant l'entrée principale, côté sud-ouest du bâtiment",34430,SAINT-JEAN-DE-VEDAS,29/06/2010,En extérieur,FicheMesure21186.pdf,Oui,2.26,Rue / Route / Parking,AEXPERTISE,1
204,21187,3.8288900000000003,43.568059999999996,"03° 49' 44.00'' Est, 43° 34' 05.00'' Nord",34270,1 Rue du Brucq,devant le n° 1,34430,SAINT-JEAN-DE-VEDAS,30/06/2010,En extérieur,FicheMesure21187.pdf,Oui,1.81,Rue / Route / Parking,AEXPERTISE,1
205,21188,3.83111,43.57806,"03° 49' 52.00'' Est, 43° 34' 41.00'' Nord",34270,16 Rue Fon de l'Hospital,en face du n°16 ter,34430,SAINT-JEAN-DE-VEDAS,29/06/2010,En extérieur,FicheMesure21188.pdf,Oui,0.91,Rue / Route / Parking,AEXPERTISE,1
206,21200,3.5002800000000005,43.653059999999996,"03° 30' 01.00'' Est, 43° 39' 11.00'' Nord",34239,Rue Pierre de Coubertin,"Résidence de retraite Yves Couzy, sur le parking",34725,SAINT-ANDRE-DE-SANGONIS,27/01/2010,En extérieur,FicheMesure21200.pdf,Oui,1.0,Rue / Route / Parking,AEXPERTISE,1
207,21541,3.5194400000000003,43.282779999999995,"03° 31' 10.00'' Est, 43° 16' 58.00'' Nord",34003,Place du Môle,"En face de la pizzeria Chez le Libanais, à côté du banc",34300,AGDE,26/08/2010,En extérieur,FicheMesure21541.pdf,Oui,3.34,Rue / Route / Parking,AEXPERTISE,1
208,21602,3.23417,43.35583,"03° 14' 03.00'' Est, 43° 21' 21.00'' Nord",34032,Boulevard du Languedoc,"École Élémentaire Pasteur, sur le terrain de basket-ball, devant l'entrée II",34500,BEZIERS,06/09/2010,En extérieur,FicheMesure21602.pdf,Oui,1.21,Rue / Route / Parking,AEXPERTISE,1
209,21605,3.2288900000000003,43.34472,"03° 13' 44.00'' Est, 43° 20' 41.00'' Nord",34032,Rue du Docteur Charcot,A l'intersection de la rue du Docteur Charcot et de la rue du Docteur Roux,34500,BEZIERS,06/09/2010,En extérieur,FicheMesure21605.pdf,Oui,2.44,Rue / Route / Parking,AEXPERTISE,1
210,21606,3.25306,43.336940000000006,"03° 15' 11.00'' Est, 43° 20' 13.00'' Nord",34032,Rue Jacques Balmat,Devant l'entrée de l'Ecole maternelle Les Oliviers,34500,BEZIERS,06/09/2010,En extérieur,FicheMesure21606.pdf,Oui,0.73,Rue / Route / Parking,AEXPERTISE,1
211,22069,3.71472,43.93528,"03° 42' 53.00'' Est, 43° 56' 07.00'' Nord",34111,40 Rue du Tirondel,"Chez M. TRAVIER, devant le barbecue",34190,GANGES,23/11/2010,En extérieur,FicheMesure22069.pdf,Oui,0.81,Divers,AEXPERTISE,1
212,22361,3.19722,43.336940000000006,"03° 11' 50.00'' Est, 43° 20' 13.00'' Nord",34032,55 Avenue Pierre de Coubertin,à côté du poteau face au court de tennis sur le terrain n°6,34500,BEZIERS,18/05/2010,En extérieur,FicheMesure22361.pdf,Oui,1.08,Divers,EMITECH Chassieu,1
213,22362,3.2536099999999997,43.34472,"03° 15' 13.00'' Est, 43° 20' 41.00'' Nord",34032,Rue Raoul Bayou,aire de jeux centre aéré Saint André,34500,BEZIERS,20/05/2010,En extérieur,FicheMesure22362.pdf,Oui,0.0,Divers,EMITECH Chassieu,1
214,22363,3.2325,43.33611,"03° 13' 57.00'' Est, 43° 20' 10.00'' Nord",34032,31-33 Rue Louis Carayon,Mesure au 33 rue Louis Carayon,34500,BEZIERS,18/05/2010,En extérieur,FicheMesure22363.pdf,Oui,1.45,Rue / Route / Parking,EMITECH Chassieu,1
215,22446,3.2319400000000003,43.35139,"03° 13' 55.00'' Est, 43° 21' 05.00'' Nord",34032,Rue Ferdinand De Lesseps,"Espace Jean Moulin, à l'angle du bâtiment, côté entrée parking",34500,BEZIERS,27/01/2011,En extérieur,FicheMesure22446.pdf,Oui,0.45,Rue / Route / Parking,AEXPERTISE,1
216,22460,3.225,43.465559999999996,"03° 13' 30.00'' Est, 43° 27' 56.00'' Nord",34147,Rue de l'Egalité,A l'intersection entre l'impasse du Bois de Nine et la rue de l'Egalité,34480,MAGALAS,01/02/2011,En extérieur,FicheMesure22460.pdf,Oui,0.34,Rue / Route / Parking,AEXPERTISE,1
217,22555,3.22667,43.3375,"03° 13' 36.00'' Est, 43° 20' 15.00'' Nord",34032,Rue François Feynes,"Sur l'aire de jeux Herriot, en contrebas de la cour de l'école Herriot",34500,BEZIERS,10/02/2011,En extérieur,FicheMesure22555.pdf,Oui,0.35,Rue / Route / Parking,AEXPERTISE,1
218,22804,3.69639,43.39917,"03° 41' 47.00'' Est, 43° 23' 57.00'' Nord",34301,Grand'rue Mario Roustan,"Square Sissi Abellan, devant l'entrée du n°75 bis",34200,SETE,28/03/2011,En extérieur,FicheMesure22804.pdf,Oui,0.62,Rue / Route / Parking,AEXPERTISE,1
219,22865,3.30306,43.43278,"03° 18' 11.00'' Est, 43° 25' 58.00'' Nord",34300,Avenue d'Abeilhan,A l'intersection entre l'avenue de la Pinède et l'avenue d'Abeilhan,34290,SERVIAN,06/04/2011,En extérieur,FicheMesure22865.pdf,Oui,0.73,Rue / Route / Parking,AEXPERTISE,1
220,22895,3.21333,43.34278,"03° 12' 48.00'' Est, 43° 20' 34.00'' Nord",34032,Place Gabriel Péri,"Hôtel de Ville, 1er étage, sur le balcon de la salle Beffroi",34500,BEZIERS,04/04/2011,En extérieur,FicheMesure22895.pdf,Oui,0.0,Divers,AEXPERTISE,1
221,22934,3.92444,43.68306,"03° 55' 28.00'' Est, 43° 40' 59.00'' Nord",34309,Rue de l'Eglise,"Sur la place, en face de l'entrée de l'Eglise",34820,TEYRAN,11/04/2011,En extérieur,FicheMesure22934.pdf,Oui,0.43,Rue / Route / Parking,AEXPERTISE,1
222,22976,3.13889,43.31472,"03° 08' 20.00'' Est, 43° 18' 53.00'' Nord",34081,Place du Presbytère,Devant le n°2 de la place du Presbytère,34440,COLOMBIERS,11/04/2011,En extérieur,FicheMesure22976.pdf,Oui,2.17,Rue / Route / Parking,AEXPERTISE,1
223,23085,3.8841699999999997,43.61472,"03° 53' 03.00'' Est, 43° 36' 53.00'' Nord",34172,8 Avenue de Saint Maur,"Résidence Le Verdanson, devant le bâtiment A, côté parking",34000,MONTPELLIER,04/05/2011,En extérieur,FicheMesure23085.pdf,Oui,1.21,Rue / Route / Parking,AEXPERTISE,1
224,23142,3.23083,43.350559999999994,"03° 13' 51.00'' Est, 43° 21' 02.00'' Nord",34032,4 Rue Ferdinand de Lesseps,"Villa Matisse, 3ème étage, Appartement 403, Mme RUIZ, sur le balcon de la chambre 2",34500,BEZIERS,16/05/2011,En extérieur,FicheMesure23142.pdf,Oui,0.36,Divers,AEXPERTISE,1
225,23311,3.9272199999999997,43.68278,"03° 55' 38.00'' Est, 43° 40' 58.00'' Nord",34309,Place de l?Europe,Devant la Cantine de l'École primaire Jules Ferry,34820,TEYRAN,07/06/2011,En extérieur,FicheMesure23311.pdf,Oui,0.36,Rue / Route / Parking,AEXPERTISE,1
226,23465,3.4872199999999998,43.30417,"03° 29' 14.00'' Est, 43° 18' 15.00'' Nord",34003,Avenue du Grand Large,En face du Cabinet médical du Grand Large,34300,AGDE,11/07/2011,En extérieur,FicheMesure23465.pdf,Oui,2.27,Rue / Route / Parking,AEXPERTISE,1
227,23477,3.93278,43.64806,"03° 55' 58.00'' Est, 43° 38' 53.00'' Nord",34090,Voie Domitienne,"Stade Municipal, entre les bancs des remplacants",34920,LE CRES,04/07/2011,En extérieur,FicheMesure23477.pdf,Oui,0.84,Divers,AEXPERTISE,1
228,23504,3.86778,43.69556,"03° 52' 04.00'' Est, 43° 41' 44.00'' Nord",34217,Rue du Château d'eau,Entre le château d'eau et le pylône Bouygues Telecom,34730,PRADES-LE-LEZ,04/07/2011,En extérieur,FicheMesure23504.pdf,Oui,1.3,Rue / Route / Parking,AEXPERTISE,1
229,23696,3.21222,43.34194,"03° 12' 44.00'' Est, 43° 20' 31.00'' Nord",34032,1 Impasse de la Notairie,"Mme GARÇON, 4ème étage, sur la terrasse haute",34500,BEZIERS,28/07/2011,En extérieur,FicheMesure23696.pdf,Oui,4.35,Divers,AEXPERTISE,1
230,23936,3.88306,43.60889,"03° 52' 59.00'' Est, 43° 36' 32.00'' Nord",34172,52 Allée Jules Milhau,"Résidence Le Triangle, 14ème étage, chez M. CAUMETTE, sur la terrasse de la chambre située à l'étage du duplex",34000,MONTPELLIER,05/04/2011,En extérieur,FicheMesure23936.pdf,Oui,1.23,Divers,AEXPERTISE,1
231,24187,3.19611,43.33583,"03° 11' 46.00'' Est, 43° 20' 09.00'' Nord",34032,Avenue Pierre de Coubertin,"Complexe sportif de la Présidente, entre le terrain n°4 et le terrain principal, côté voie ferrée",34500,BEZIERS,13/10/2011,En extérieur,FicheMesure24187.pdf,Oui,1.81,Rue / Route / Parking,AEXPERTISE,1
232,24221,3.2288900000000003,43.34472,"03° 13' 44.00'' Est, 43° 20' 41.00'' Nord",34032,Rue du Docteur Charcot,A l'intersection avec la rue du Docteur Roux,34500,BEZIERS,12/10/2011,En extérieur,FicheMesure24221.pdf,Oui,2.41,Rue / Route / Parking,AEXPERTISE,1
233,24222,3.2483299999999997,43.34778,"03° 14' 54.00'' Est, 43° 20' 52.00'' Nord",34032,Rue Gérard Philipe,Devant l'entrée du Forum,34500,BEZIERS,12/10/2011,En extérieur,FicheMesure24222.pdf,Oui,1.75,Rue / Route / Parking,AEXPERTISE,1
234,24223,3.2347200000000003,43.33556,"03° 14' 05.00'' Est, 43° 20' 08.00'' Nord",34032,Rue Louis Carayon,Devant le n°8 rue Louis Carayon,34500,BEZIERS,12/10/2011,En extérieur,FicheMesure24223.pdf,Oui,1.16,Rue / Route / Parking,AEXPERTISE,1
235,24260,3.98083,43.73361,"03° 58' 51.00'' Est, 43° 44' 01.00'' Nord",34249,Rue du Parc,"Parc Municipal, devant la buvette",34160,SAINT-DREZERY,24/10/2011,En extérieur,FicheMesure24260.pdf,Oui,0.56,Divers,AEXPERTISE,1
236,24355,3.2055599999999997,43.32667,"03° 12' 20.00'' Est, 43° 19' 36.00'' Nord",34032,2 Impasse Henri Clouzot,En face du n°2 de l'impasse Henri Clouzot,34500,BEZIERS,25/10/2011,En extérieur,FicheMesure24355.pdf,Oui,1.77,Rue / Route / Parking,AEXPERTISE,1
237,24357,3.20778,43.35,"03° 12' 28.00'' Est, 43° 21' 00.00'' Nord",34032,28 Rue de l'Etourneau,Devant le n°28 de la rue de l'Etourneau,34500,BEZIERS,25/10/2011,En extérieur,FicheMesure24357.pdf,Oui,1.64,Rue / Route / Parking,AEXPERTISE,1
238,24395,3.2175,43.341390000000004,"03° 13' 03.00'' Est, 43° 20' 29.00'' Nord",34032,Allée Allées Paul Riquet,En face de la Pharmacie des Allées,34500,BEZIERS,26/10/2011,En extérieur,FicheMesure24395.pdf,Oui,1.51,Rue / Route / Parking,AEXPERTISE,1
239,24397,3.22167,43.35028,"03° 13' 18.00'' Est, 43° 21' 01.00'' Nord",34032,Rue Antoine Condorcet,En face du n°6 de la rue Antoine Condorcet,34500,BEZIERS,26/10/2011,En extérieur,FicheMesure24397.pdf,Oui,1.33,Rue / Route / Parking,AEXPERTISE,1
240,24402,3.21806,43.34778,"03° 13' 05.00'' Est, 43° 20' 52.00'' Nord",34032,Rue d'Arcole,Devant le n°13 rue d'Arcole,34500,BEZIERS,26/10/2011,En extérieur,FicheMesure24402.pdf,Oui,1.37,Rue / Route / Parking,AEXPERTISE,1
241,24403,3.22722,43.352779999999996,"03° 13' 38.00'' Est, 43° 21' 10.00'' Nord",34032,Rue du Rouat,Dans le parc situé au sud-ouest du square du Rouat,34500,BEZIERS,25/10/2011,En extérieur,FicheMesure24403.pdf,Oui,1.01,Divers,AEXPERTISE,1
242,24750,3.50944,43.29139,"03° 30' 34.00'' Est, 43° 17' 29.00'' Nord",34003,Avenue de la Vigne,"Les Maisons du Cap, en face du n°5",34300,AGDE,07/12/2011,En extérieur,FicheMesure24750.pdf,Oui,1.0,Rue / Route / Parking,AEXPERTISE,1
243,24886,3.975,43.54306,"03° 58' 30.00'' Est, 43° 32' 35.00'' Nord",34154,Place Cassan,En face de la résidence Le Viking,34130,MAUGUIO,24/01/2012,En extérieur,FicheMesure24886.pdf,Oui,1.75,Rue / Route / Parking,AEXPERTISE,1
244,24944,3.2055599999999997,43.32667,"03° 12' 20.00'' Est, 43° 19' 36.00'' Nord",34032,Impasse Henri Clouzot,En face du n°2,34500,BEZIERS,31/01/2012,En extérieur,FicheMesure24944.pdf,Oui,1.67,Rue / Route / Parking,AEXPERTISE,1
245,24992,3.83472,43.59972,"03° 50' 05.00'' Est, 43° 35' 59.00'' Nord",34172,120 Rue du Mas de Prunet,"Centre Bourneville ADAGES, entre le bâtiment École et la rue des Bouisses",34000,MONTPELLIER,23/01/2012,En extérieur,FicheMesure24992.pdf,Oui,1.06,Divers,AEXPERTISE,1
246,25104,3.69889,43.403890000000004,"03° 41' 56.00'' Est, 43° 24' 14.00'' Nord",34301,20 Rue Maurice Clavel,"Résidence Le Chai Saint-Louis, bâtiment B, au 4ème étage, Appartement 244, chez Mme OTTIÉ, sur la terrasse, devant la cuisine",34200,SETE,23/01/2012,En extérieur,FicheMesure25104.pdf,Oui,1.84,Divers,AEXPERTISE,1
247,25117,3.2705599999999997,43.5225,"03° 16' 14.00'' Est, 43° 31' 21.00'' Nord",34109,Chemin de Mont Counil,"Chez M. CORBIERE, sur le chemin, à 20 mètres au sud-est du pylône",34320,GABIAN,05/12/2011,En extérieur,FicheMesure25117.pdf,Oui,1.85,Divers,AEXPERTISE,1
248,25120,3.8475,43.62278,"03° 50' 51.00'' Est, 43° 37' 22.00'' Nord",34172,Rue de Casseyrols,"Devant la résidence l'Hermitage (n°316), à l'angle sud du bâtiment A.",34000,MONTPELLIER,26/01/2012,En extérieur,FicheMesure25120.pdf,Oui,1.09,Rue / Route / Parking,AEXPERTISE,1
249,25163,3.76111,43.44167,"03° 45' 40.00'' Est, 43° 26' 30.00'' Nord",34108,Avenue 81ème Régiment d'Infanterie,"Stade Lucien Jean, devant le Club House",34110,FRONTIGNAN,27/02/2012,En extérieur,FicheMesure25163.pdf,Oui,0.66,Rue / Route / Parking,AEXPERTISE,1
250,25164,3.72,43.941109999999995,"03° 43' 12.00'' Est, 43° 56' 28.00'' Nord",34111,27 Rue du Cers,Devant le n°27 rue du Cers,34190,GANGES,30/11/2011,En extérieur,FicheMesure25164.pdf,Oui,0.5,Rue / Route / Parking,AEXPERTISE,1
251,25165,3.7775,43.433890000000005,"03° 46' 39.00'' Est, 43° 26' 02.00'' Nord",34108,Avenue de Lesseps,"Port de Plaisance, devant la résidence La Galiote",34110,FRONTIGNAN,29/02/2012,En extérieur,FicheMesure25165.pdf,Oui,1.04,Rue / Route / Parking,AEXPERTISE,1
252,25166,3.75694,43.45028,"03° 45' 25.00'' Est, 43° 27' 01.00'' Nord",34108,11bis Avenue des Jardiniers,Devant le n°11 bis,34110,FRONTIGNAN,27/02/2012,En extérieur,FicheMesure25166.pdf,Oui,0.64,Rue / Route / Parking,AEXPERTISE,1
253,25167,3.79167,43.44083,"03° 47' 30.00'' Est, 43° 26' 27.00'' Nord",34108,163 Avenue Ferdinand de Lesseps,Devant le n°163,34110,FRONTIGNAN,27/02/2012,En extérieur,FicheMesure25167.pdf,Oui,1.62,Rue / Route / Parking,AEXPERTISE,1
254,25168,3.7269400000000004,43.43111,"03° 43' 37.00'' Est, 43° 25' 52.00'' Nord",34108,Chemin du Mas de Chave,En face de l'entrée du lotissement Le CLos des Oliviers,34110,FRONTIGNAN,29/02/2012,En extérieur,FicheMesure25168.pdf,Oui,1.95,Rue / Route / Parking,AEXPERTISE,1
255,25169,3.74556,43.45139,"03° 44' 44.00'' Est, 43° 27' 05.00'' Nord",34108,24 Rue des Collines,devant le n° 24,34110,FRONTIGNAN,28/02/2012,En extérieur,FicheMesure25169.pdf,Oui,1.64,Rue / Route / Parking,AEXPERTISE,1
256,25170,3.75,43.45389,"03° 45' 00.00'' Est, 43° 27' 14.00'' Nord",34108,14 Impasse des Pinsons,"devant le n°14, au niveau de l'intersection avec la rue Maurice Clavel",34110,FRONTIGNAN,28/02/2012,En extérieur,FicheMesure25170.pdf,Oui,1.4,Rue / Route / Parking,AEXPERTISE,1
257,25171,3.74556,43.443059999999996,"03° 44' 44.00'' Est, 43° 26' 35.00'' Nord",34108,22 Rue du Grenache,en face du n°22,34110,FRONTIGNAN,28/02/2012,En extérieur,FicheMesure25171.pdf,Oui,1.24,Rue / Route / Parking,AEXPERTISE,1
258,25172,3.7263900000000003,43.4275,"03° 43' 35.00'' Est, 43° 25' 39.00'' Nord",34108,22 Route de Balaruc,"au niveau du n°22, devant le parvis de l'église",34110,FRONTIGNAN,29/02/2012,En extérieur,FicheMesure25172.pdf,Oui,1.68,Rue / Route / Parking,AEXPERTISE,1
259,25200,3.6991699999999996,43.40833,"03° 41' 57.00'' Est, 43° 24' 30.00'' Nord",34301,20 Impasse Gaffinel,Devant l'entrée du Collège Victor Hugo (n°20),34200,SETE,24/02/2012,En extérieur,FicheMesure25200.pdf,Oui,0.0,Rue / Route / Parking,AEXPERTISE,1
260,25570,4.03806,43.64778,"04° 02' 17.00'' Est, 43° 38' 52.00'' Nord",34176,Rue des Carriérettes,"Ecole Maxime Evdokimoff, dans la cour, au niveau de la 3ème porte de garage",34130,MUDAISON,25/04/2012,En extérieur,FicheMesure25570.pdf,Oui,0.72,Rue / Route / Parking,AEXPERTISE,1
261,25616,3.2258299999999998,43.26944,"03° 13' 33.00'' Est, 43° 16' 10.00'' Nord",34329,Avenue Bel Air,"Les Terrasses de l'Eglise, au pied du clocher",34350,VENDRES,16/05/2012,En extérieur,FicheMesure25616.pdf,Oui,0.17,Rue / Route / Parking,AEXPERTISE,1
262,25645,3.67889,43.39417,"03° 40' 44.00'' Est, 43° 23' 39.00'' Nord",34301,Promenade Maréchal Leclerc,"Devant le n°1432, au niveau du terrain de pétanque",34200,SETE,15/05/2012,En extérieur,FicheMesure25645.pdf,Oui,1.82,Rue / Route / Parking,AEXPERTISE,1
263,25649,3.34389,43.4675,"03° 20' 38.00'' Est, 43° 28' 03.00'' Nord",34009,27 Rue de la Guissaume,"Cave Coopérative d'Alignan-du-Vent, sur le toit-terrasse, à l'angle est, devant la cuve blanche",34290,ALIGNAN-DU-VENT,16/05/2012,En extérieur,FicheMesure25649.pdf,Oui,1.73,Divers,AEXPERTISE,1
264,25657,3.90556,43.61056,"03° 54' 20.00'' Est, 43° 36' 38.00'' Nord",34172,Rue des Frères Lumière,"Etap Hôtel, dans le parking, sur la place PMR ouest (site éteint) ",34000,MONTPELLIER,14/05/2012,En extérieur,FicheMesure25657.pdf,Oui,0.0,Rue / Route / Parking,AEXPERTISE,1
265,25658,3.90556,43.61056,"03° 54' 20.00'' Est, 43° 36' 38.00'' Nord",34172,Rue des Frères Lumière,"Etap Hôtel, dans le parking, sur la place PMR ouest (site allumé)",34000,MONTPELLIER,14/05/2012,En extérieur,FicheMesure25658.pdf,Oui,0.59,Rue / Route / Parking,AEXPERTISE,1
266,25662,3.2311099999999997,43.350559999999994,"03° 13' 52.00'' Est, 43° 21' 02.00'' Nord",34032,4 Rue Ferdinand de Lesseps,"Villa Matisse, au 3ème étage, appartement 404, M. PETTGEN, sur la terrasse",34500,BEZIERS,30/05/2012,En extérieur,FicheMesure25662.pdf,Oui,4.48,Divers,AEXPERTISE,1
267,25679,3.8544400000000003,43.53917,"03° 51' 16.00'' Est, 43° 32' 21.00'' Nord",34337,Route Départementale 185,"Château d'eau, niveau réservoir, devant l?échelle d'accès au toit",34750,VILLENEUVE-LES-MAGUELONE,15/05/2012,En extérieur,FicheMesure25679.pdf,Oui,1.19,Locaux professionnels non accessibles au public,AEXPERTISE,1
268,25691,3.9291699999999996,43.6825,"03° 55' 45.00'' Est, 43° 40' 57.00'' Nord",34309,4 Rue du Château d'Eau,devant le n°4 ( M. BRUN ),34820,TEYRAN,24/04/2012,En extérieur,FicheMesure25691.pdf,Oui,2.04,Rue / Route / Parking,AEXPERTISE,1
269,25777,3.44,43.288059999999994,"03° 26' 24.00'' Est, 43° 17' 17.00'' Nord",34003,4 Rue du Commandant Malet,"Camping de la Tamarissière, sur l'emplacement n°132",34300,AGDE,19/06/2012,En extérieur,FicheMesure25777.pdf,Oui,0.66,Divers,AEXPERTISE,1
270,25905,3.21972,43.36333,"03° 13' 11.00'' Est, 43° 21' 48.00'' Nord",34032,1 Rue André Chamson,Devant le n°1,34500,BEZIERS,18/06/2012,En extérieur,FicheMesure25905.pdf,Oui,1.03,Rue / Route / Parking,AEXPERTISE,1
271,25907,3.2147200000000002,43.35389,"03° 12' 53.00'' Est, 43° 21' 14.00'' Nord",34032,1 Rue de la Clairette,En face du n°1,34500,BEZIERS,18/06/2012,En extérieur,FicheMesure25907.pdf,Oui,0.57,Rue / Route / Parking,AEXPERTISE,1
272,25908,3.2519400000000003,43.35222,"03° 15' 07.00'' Est, 43° 21' 08.00'' Nord",34032,Rue de l'Industrie,"Magasin BUT, sur le parking, au niveau Réception marchandises",34500,BEZIERS,18/06/2012,En extérieur,FicheMesure25908.pdf,Oui,1.95,Rue / Route / Parking,AEXPERTISE,1
273,25916,3.9052800000000003,43.6625,"03° 54' 19.00'' Est, 43° 39' 45.00'' Nord",34120,7 Rue des Bordes,"Chez M. JALABERT, dans le jardin",34830,JACOU,21/06/2012,En extérieur,FicheMesure25916.pdf,Oui,0.66,Divers,AEXPERTISE,1
